ANIO;REG_NAT;DEMAR_HIDRO;DIR_ZON;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;CAPH;NAM;ANIO_CREACION;ROR;EDEL;AREA_HA
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2102;GONZALO PIZARRO;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;11,85659237
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2102;GONZALO PIZARRO;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;14873,2794
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2105;SUCUMBÍOS;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;8441,265276
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2105;SUCUMBÍOS;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;2763,113693
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2105;SUCUMBÍOS;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;39143,45174
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2105;SUCUMBÍOS;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;27373,19558
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2105;SUCUMBÍOS;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;4487,190024
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1805;PATATE;APH010;SAN JORGE DE PATATE;2021;RESOLUCIÓN MAATE-DZ3-DAPH-SJP-2021-002-R DEL 30/07/2021;CONCLUIDO;110,2823265
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1805;PATATE;APH010;SAN JORGE DE PATATE;2021;RESOLUCIÓN MAATE-DZ3-DAPH-SJP-2021-002-R DEL 30/07/2021;CONCLUIDO;104,8474364
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1806;QUERO;APH011;TELIGOTE;2021;RESOLUCIÓN MAATE-DZ3-DAPH-T-2021-003-R DEL 25/08/2021;CONCLUIDO;1,825834666
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1806;QUERO;APH006;HUAMBALÓ-LA MOYA;2021;RESOLUCIÓN MAAE-DZCH-DAPH-HLM-2021-001-R DEL 26/03/2021;CONCLUIDO;0,170875907
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1806;QUERO;APH021;SHAUSHI;2023;RESOLUCION NO. MAATE-DFIP-DZ3-2023-001;CONCLUIDO;170,0703496
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;APH011;TELIGOTE;2021;RESOLUCIÓN MAATE-DZ3-DAPH-T-2021-003-R DEL 25/08/2021;CONCLUIDO;193,8847431
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;APH021;SHAUSHI;2023;RESOLUCION NO. MAATE-DFIP-DZ3-2023-001;CONCLUIDO;4,442494192
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;APH011;TELIGOTE;2021;RESOLUCIÓN MAATE-DZ3-DAPH-T-2021-003-R DEL 25/08/2021;CONCLUIDO;2,391931946
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;APH006;HUAMBALÓ-LA MOYA;2021;RESOLUCIÓN MAAE-DZCH-DAPH-HLM-2021-001-R DEL 26/03/2021;CONCLUIDO;4,978254675
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;APH006;HUAMBALÓ-LA MOYA;2021;RESOLUCIÓN MAAE-DZCH-DAPH-HLM-2021-001-R DEL 26/03/2021;CONCLUIDO;153,695604
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1103;CATAMAYO;APH023;VERDÚN;2023;RESOLUCIÓN MAATE-DFIP-DZ7-APH-VERDUN-2023-031 DEL 28/08/2023;CONCLUIDO;8096,723367
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA MANABÍ;DIRECCIÓN ZONAL MANABÍ;13;MANABÍ;1301;PORTOVIEJO;APH024;BALSA TUMBADA;2023;RESOLUCIÓN MAATE-DZ4-2023-0143-R DEL 30/08/2023;CONCLUIDO;1,036881329
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA MANABÍ;DIRECCIÓN ZONAL MANABÍ;13;MANABÍ;1301;PORTOVIEJO;APH024;BALSA TUMBADA;2023;RESOLUCIÓN MAATE-DZ4-2023-0143-R DEL 30/08/2023;CONCLUIDO;0,459283034
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA MANABÍ;DIRECCIÓN ZONAL MANABÍ;13;MANABÍ;1307;JUNÍN;APH024;BALSA TUMBADA;2023;RESOLUCIÓN MAATE-DZ4-2023-0143-R DEL 30/08/2023;CONCLUIDO;399,0154946
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;21;SUCUMBÍOS;2102;GONZALO PIZARRO;APH022;FLOR DEL VALLE;2023;RESOLUCIÓN MAATE-DZ9-DAPH-2023-001-R DEL 22/08/2023;CONCLUIDO;3663,733269
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL ZAMORA;19;ZAMORA CHINCHIPE;1905;YANTZAZA;APH026;YANTZAZA;2023;RESOLUCIÓN MAATE-DZ10-APH-2023-002-R DEL 08/09/2023;CONCLUIDO;1399,109895
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL ZAMORA;19;ZAMORA CHINCHIPE;1905;YANTZAZA;APH026;YANTZAZA;2023;RESOLUCIÓN MAATE-DZ10-APH-2023-002-R DEL 08/09/2023;CONCLUIDO;1775,54371
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL ZAMORA;19;ZAMORA CHINCHIPE;1906;EL PANGUI;APH025;EL PANGUI;2023;RESOLUCIÓN MAATE-DZ10-APH-2023-001-R DEL 07/09/2023;CONCLUIDO;2157,027597
